Insegna,Tipo via,Via,Civico,Codice via,Municipio,Accesso,Isolato,Presso,Forma commercio prevalente,Forma commercio secondaria,Forma vendita,Superficie somministrazione,Bar caffè,Bar gastronomici e simili,Biliardo,Bocce,Carte,Cibi cotti preconfezionati,Discoteche,Genere merceol.autorizz.sanit.,Giochi legge 388/2000,Mensa,Pizzeria,Prodotti di gastronomia,Ristorante,Spaccio bevande analcoliche,Tavola calda,Tavola fredda,Fast food,Osteria,Self service,Trattoria,context_type,IsAnomaly
bar,VIA,LAMBRUSCHINI RAFFAELE,15,7271,9,accesso interno,0,Non specificato,somministrazione,Assente,al banco,45.0,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,horeca,False
Non specificata,VIA,PLINIO CAIO SECONDO,63,2144,3,accesso interno,108,trattenimenti danzanti,somministrazione,Assente,al banco,365.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,other,False
int.f.f.s.s. (trenitalia),VIA,CORELLI ARCANGELO,61,3243,3,accesso interno,3,f.s direz.compartimentale,somministrazione,Assente,al banco,172.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,other,False
Non specificata,VIA,GALLURA,8,4256,5,accesso interno,0,Non specificato,somministrazione,Assente,al banco,30.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,other,False
bar tabacchi,VIA,RICCIARELLI DANIELE,11,6553,7,accesso interno,0,Non specificato,somministrazione,Assente,al banco,98.0,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,horeca,False
bar caffe,VIA,TERAMO,31,5365,6,accesso esterno,71,Non specificato,somministrazione,Assente,al banco,48.0,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,horeca,False
Non specificata,VIALE,RICHARD GIULIO,20,5374,6,accesso interno,16,Non specificato,somministrazione,Assente,al banco,150.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,other,False
c/0 hotel michelangelo,VIA,SCARLATTI DOMENICO,33,2136,2,accesso interno,39,hotel michelangelo,somministrazione,Assente,self service,101.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,other,False
casa riposo music.g.verdi,PIAZZA,BUONARROTI MICHELANGELO,29,6252,7,accesso interno,192,casa di riposo per musicis,somministrazione,Assente,misto,160.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,other,False
c/o casa di riposo,VIA,PITTERI RICCARDO,81,2674,3,accesso interno,0,residenza santa giulia,somministrazione,Assente,self service,150.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,other,False
